[*] '/home/aa35037123/unix_programming_labs/lab3/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_1        1c2b0      12590     
gop_2        1d510      14a50     
gop_3        1c240      124b0     
gop_4        1d538      14aa0     
gop_5        1c408      12840     
gop_6        1d6b0      14d90     
gop_7        1c3d8      127e0     
gop_8        1d1a0      14370     
gop_9        1e4c0      169b0     
gop_10       1d7f8      15020     
gop_11       1c528      12a80     
gop_12       1d830      15090     
gop_13       1c560      12af0     
gop_14       1d868      15100     
gop_15       1c818      13060     
gop_16       1dad8      155e0     
gop_17       1c898      13160     
gop_18       1db70      15710     
gop_19       1c888      13140     
gop_20       1c048      120c0     
gop_21       1d348      146c0     
gop_22       1c078      12120     
gop_23       1d378      14720     
gop_24       1c0a8      12180     
gop_25       1d398      14760     
gop_26       1c318      12660     
gop_27       1d610      14c50     
gop_28       1c390      12750     
gop_29       1d698      14d60     
gop_30       1e190      16350     
gop_31       1ced8      13de0     
gop_32       1e1e8      16400     
gop_33       1cee8      13e00     
gop_34       1e210      16450     
gop_35       1cf40      13eb0     
gop_36       1e250      164d0     
gop_37       1d148      142c0     
gop_38       1e438      168a0     
gop_39       1d1e8      14400     
gop_40       1c9b0      13390     
gop_41       1dc78      15920     
gop_42       1c9c0      133b0     
gop_43       1dcd8      159e0     
gop_44       1c9e0      133f0     
gop_45       1dcf0      15a10     
gop_46       1ca10      13450     
gop_47       1dd20      15a70     
gop_48       1ccb8      139a0     
gop_49       1dfc0      15fb0     
gop_50       1c9b8      133a0     
gop_51       1dcb8      159a0     
gop_52       1ca00      13430     
gop_53       1dd00      15a30     
gop_54       1c978      13320     
gop_55       1dc58      158e0     
gop_56       1c988      13340     
gop_57       1dc70      15910     
gop_58       1ca28      13480     
gop_59       1dd48      15ac0     
gop_60       1d7d0      14fd0     
gop_61       1c530      12a90     
gop_62       1d838      150a0     
gop_63       1c4c0      129b0     
gop_64       1d768      14f00     
gop_65       1c4e0      129f0     
gop_66       1d780      14f30     
gop_67       1c568      12b00     
gop_68       1d870      15110     
gop_69       1c4f8      12a20     
gop_70       1d380      14730     
gop_71       1c050      120d0     
gop_72       1d2d8      145e0     
gop_73       1c008      12040     
gop_74       1d300      14630     
gop_75       1c018      12060     
gop_76       1d3a0      14770     
gop_77       1c0e0      121f0     
gop_78       1d350      146d0     
gop_79       1c040      120b0     
gop_80       1e218      16460     
gop_81       1cea8      13d80     
gop_82       1e158      162e0     
gop_83       1cec0      13db0     
gop_84       1e178      16320     
gop_85       1cf50      13ed0     
gop_86       1e260      164f0     
gop_87       1cee0      13df0     
gop_88       1e1e0      163f0     
gop_89       1cdb0      13b90     
gop_90       1dc50      158d0     
gop_91       1c980      13330     
gop_92       1dc68      15900     
gop_93       1ca20      13470     
gop_94       1dd40      15ab0     
gop_95       1c9c8      133c0     
gop_96       1dc98      15960     
gop_97       1c8e0      131f0     
gop_98       1dba0      15770     
gop_99       1ca18      13460     
gop_100      1e038      160a0     
gop_101      1ccd8      139e0     
gop_102      1dfb8      15fa0     
gop_103      1ce70      13d10     
gop_104      1e108      16240     
gop_105      1cde0      13bf0     
gop_106      1e140      162b0     
gop_107      1ceb0      13d90     
gop_108      1e150      162d0     
gop_109      1ceb8      13da0     
gop_110      1e478      16920     
gop_111      1d140      142b0     
gop_112      1e480      16930     
gop_113      1d158      142e0     
gop_114      1e430      16890     
gop_115      1d2b0      14590     
gop_116      1e568      16b00     
gop_117      1d248      144c0     
gop_118      1e590      16b50     
gop_119      1d2d0      145d0     
gop_120      1d660      14cf0     
gop_121      1c340      126b0     
gop_122      1d620      14c70     
gop_123      1c358      126e0     
gop_124      1d640      14cb0     
gop_125      1c308      12640     
gop_126      1d750      14ed0     
gop_127      1c468      12900     
gop_128      1d700      14e30     
gop_129      1c480      12930     
gop_130      1db00      15630     
gop_131      1c858      130e0     
gop_132      1db18      15660     
gop_133      1c810      13050     
gop_134      1db28      15680     
gop_135      1c820      13070     
gop_136      1dad0      155d0     
gop_137      1c948      132c0     
gop_138      1dc10      15850     
gop_139      1c900      13230     
gop_140      1ce50      13cd0     
gop_141      1dff0      16010     
gop_142      1cd00      13a30     
gop_143      1e008      16040     
gop_144      1ccb0      13990     
gop_145      1e030      16090     
gop_146      1ccd0      139d0     
gop_147      1dfb0      15f90     
gop_148      1ce68      13d00     
gop_149      1e100      16230     
gop_150      1cda0      13b70     
gop_151      1e148      162c0     
gop_152      1ce88      13d40     
gop_153      1e120      16270     
gop_154      1ce28      13c80     
gop_155      1e130      16290     
gop_156      1ce08      13c40     
gop_157      1e0e0      161f0     
gop_158      1cf10      13e50     
gop_159      1e230      16490     
gop_160      1e5a8      16b80     
gop_161      1d2b8      145a0     
gop_162      1e580      16b30     
gop_163      1d278      14520     
gop_164      1e598      16b60     
gop_165      1d260      144f0     
gop_166      1e558      16ae0     
gop_167      1d388      14740     
gop_168      1c080      12130     
gop_169      1d250      144d0     
gop_170      1c4b0      12990     
gop_171      1d738      14ea0     
gop_172      1c460      128f0     
gop_173      1d748      14ec0     
gop_174      1c440      128b0     
gop_175      1d720      14e70     
gop_176      1c520      12a70     
gop_177      1d840      150b0     
gop_178      1c428      12880     
gop_179      1d828      15080     
gop_180      1dc18      15860     
gop_181      1c930      13290     
